geneID	Compound_A_Low	Compound_A_Mid	Compound_A_High
100361452	0.001690269	-0.180546759	-0.284239913
100361506	0.156253831	0.423713626	1.267944738
100361517	0.538650347	-0.063855457	1.810478046
100361571	-0.852045194	-0.560287982	-1.254987386
100361574	0.860537116	1.609931756	-0.021208445
100361584	0.78076568	2.287124235	-1.230539321
100361585	-0.855870038	-0.067602071	1.317141134
100361588	-0.140239354	-0.734107413	-0.213209709
100361631	-1.00004689	-0.053786504	1.414386992
100361647	-0.67223637	-0.432236901	-0.000215825
100361658	-2.468957841	-1.120678695	-0.916573106
100361660	-0.668388977	0.251292097	-1.170603939
100361672	0.89531466	0.5021009	-0.451148687
100361684	-0.289627984	1.364012688	1.842290866
100361706	-1.242307576	-1.087127539	-0.583209274
100361710	-0.6026117	-0.949488233	-0.849377533
100361733	-2.383590153	-0.76336496	1.034806513
100361765	-1.912105781	0.972491227	-2.277633433
100361818	-0.45805327	0.031411079	0.330834231
100361830	0.563538261	1.303479011	-1.682059124
100361859	0.819973887	1.495345631	1.497724709
100361884	0.239806184	0.888315217	0.725943205
100361913	-0.557880104	-0.708845601	-0.316040159
100361915	-0.064873403	0.761816322	2.384649407
100361923	0.007564977	-0.088277628	-2.441581502
100361928	1.426511411	1.711796796	0.941009812
100361931	1.007868049	0.579596086	0.960758665
100361939	0.210347364	-0.545010199	-2.466286485
100361960	-0.249835053	0.390069723	0.223756889
100362102	-0.987071854	0.547305169	-1.163469151
100362109	0.344081043	0.189736988	1.574915169
100362119	0.629879019	2.517287943	1.560958005
100362120	-0.817806001	-0.001510029	-0.454517681
100362121	0.085077706	0.726376767	-0.023172627
100362124	0.768355911	1.288873659	-0.125020075
100362155	-0.151369469	-0.791379401	-2.18328263
100362176	0.000204047	0.491144648	0.682537383
100362255	0.076517434	1.097350497	-0.757182118
100362283	0.111199195	0.754076337	0.482373043
100362311	0.782797518	-0.392413033	0.495575144
100362321	0.251026867	-1.152569316	2.012955813
